image_id,image_path,prompt,true_label,supercategory,negative_type
1001,data/val2017/000000001001.jpg,a photo of dog,0,animal,positive
1002,data/val2017/000000001002.jpg,a photo of wolf,1,animal,hard
1003,data/val2017/000000001003.jpg,a photo of airplane,1,animal,easy
1004,data/val2017/000000001004.jpg,a photo of car,0,vehicle,positive
1005,data/val2017/000000001005.jpg,a photo of truck,1,vehicle,hard
1006,data/val2017/000000001006.jpg,a photo of cat,1,vehicle,easy
1007,data/val2017/000000001007.jpg,a photo of chair,0,furniture,positive
1008,data/val2017/000000001008.jpg,a photo of couch,1,furniture,hard
1009,data/val2017/000000001009.jpg,a photo of dog,1,furniture,easy
1010,data/val2017/000000001010.jpg,a photo of cat,0,animal,positive
